Pulse heights for the following Vcal values:
Low range:  50 100 150 200 250 
High range:  30 50 70 90 200 

  23  33  46  59  74  60 104 145 190 255    Pix  1 68
  36  46  59  73  87  73 115 159 205 255    Pix  1 69
  37  46  61  75  88  75 120 161 207 255    Pix  1 70
  33  45  57  69  84  69 114 155 197 255    Pix  1 71
  29  37  50  63  79  63 109 150 195 255    Pix  1 72
  29  37  48  63  77  63 107 148 192 255    Pix  1 73
  29  38  50  63  77  63 107 147 191 255    Pix  1 74
  30  38  52  64  78  64 109 149 192 255    Pix  1 75
  30  40  52  65  79  65 110 154 197 255    Pix  1 76
  25  35  47  60  73  60 102 143 189 255    Pix  1 77
  22  32  46  58  72  59 101 143 189 255    Pix  1 78
  18  29  41  52  63  52  93 132 174 255    Pix  1 79
  43  54  68  81  96  82 129 174 220 255    Pix  2  0
  45  56  69  83  98  84 130 173 217 255    Pix  2  1
  44  53  69  83  97  84 132 175 221 255    Pix  2  2
  43  53  66  79  95  81 127 172 218 255    Pix  2  3
  47  61  73  85 101  86 133 173 220 255    Pix  2  4
  46  59  72  85 101  87 134 175 222 255    Pix  2  5
  37  46  61  76  90  76 121 164 207 255    Pix  2  6
  37  49  62  77  92  78 122 165 209 255    Pix  2  7
  38  48  63  78  94  79 125 169 213 255    Pix  2  8
  37  49  63  78  94  78 125 169 213 255    Pix  2  9
  39  49  63  78  93  78 124 166 211 255    Pix  2 10
  37  47  61  75  89  74 121 162 207 255    Pix  2 11
  33  45  58  72  88  73 119 163 207 255    Pix  2 12
  31  41  55  67  82  68 113 157 202 255    Pix  2 13
  32  43  57  70  84  70 116 158 205 255    Pix  2 14
  46  58  73  85 101  85 134 175 222 255    Pix  2 15
  47  59  73  85 101  85 133 174 221 255    Pix  2 16
  39  50  62  77  91  77 121 160 206 255    Pix  2 17
  37  47  62  76  90  76 122 163 207 255    Pix  2 18
  35  47  60  74  88  74 118 159 205 255    Pix  2 19
  35  47  61  74  88  74 120 162 207 255    Pix  2 20
  43  51  65  78  94  80 127 171 213 255    Pix  2 21
  43  53  67  79  95  80 127 169 213 255    Pix  2 22
  39  48  62  77  92  77 121 162 207 255    Pix  2 23
  33  45  57  70  85  70 117 158 204 255    Pix  2 24
  33  45  58  71  86  72 117 159 206 255    Pix  2 25
  36  47  62  76  91  76 123 165 210 255    Pix  2 26
  44  55  68  81  96  83 128 172 218 255    Pix  2 27
  37  47  62  76  92  76 121 163 206 255    Pix  2 28
  41  52  65  79  94  79 126 167 212 255    Pix  2 29
  30  41  55  68  81  68 111 156 201 255    Pix  2 30
  29  39  52  63  79  64 110 150 194 255    Pix  2 31
  32  43  56  69  82  68 113 158 202 255    Pix  2 32
  46  56  71  83  97  85 130 173 218 255    Pix  2 33
  46  59  73  86 101  86 134 175 221 255    Pix  2 34
  44  55  69  81  96  83 127 172 215 255    Pix  2 35
  37  49  63  78  93  77 123 165 209 255    Pix  2 36
  38  47  62  77  92  77 123 164 207 255    Pix  2 37
  35  46  60  71  87  72 117 158 204 255    Pix  2 38
  37  47  61  74  89  76 118 161 205 255    Pix  2 39
  37  47  62  76  90  76 121 161 206 255    Pix  2 40
  36  46  59  70  84  71 113 155 197 255    Pix  2 41
  30  42  54  67  81  68 113 156 200 255    Pix  2 42
  29  39  51  63  79  64 109 151 194 255    Pix  2 43
  29  38  53  63  78  63 109 149 192 255    Pix  2 44
  35  46  60  71  86  72 117 158 204 255    Pix  2 45
  43  53  67  79  95  79 127 170 213 255    Pix  2 46
  36  47  61  74  89  76 118 161 207 255    Pix  2 47
  30  42  53  68  83  68 111 156 200 255    Pix  2 48
  31  41  53  65  81  66 111 151 196 255    Pix  2 49
  30  42  55  69  83  69 114 157 201 255    Pix  2 50
  38  47  62  77  91  76 120 160 206 255    Pix  2 51
  44  55  69  81  96  82 127 171 214 255    Pix  2 52
  39  47  63  75  90  76 118 160 205 255    Pix  2 53
  35  47  60  72  87  74 117 158 205 255    Pix  2 54
  32  43  55  68  83  69 113 155 199 255    Pix  2 55
  35  46  59  70  85  71 113 157 199 255    Pix  2 56
  33  45  56  68  83  69 111 156 198 255    Pix  2 57
  38  47  62  78  90  77 120 159 206 255    Pix  2 58
  33  45  56  69  83  70 111 152 195 255    Pix  2 59
  28  37  50  63  78  63 109 149 191 255    Pix  2 60
  29  40  52  66  80  66 110 152 195 255    Pix  2 61
  29  40  52  67  79  66 110 151 197 255    Pix  2 62
  33  45  57  69  84  69 114 157 200 255    Pix  2 63
  36  46  60  73  85  72 117 158 203 255    Pix  2 64
  32  42  53  66  79  65 109 150 193 255    Pix  2 65
  31  42  54  68  81  67 111 154 197 255    Pix  2 66
  23  33  46  59  73  59 100 143 186 255    Pix  2 67
  26  35  47  61  75  61 105 145 190 255    Pix  2 68
  38  48  61  75  88  76 118 158 203 255    Pix  2 69
  37  47  60  73  86  73 114 157 200 255    Pix  2 70
  36  46  60  72  86  73 116 157 200 255    Pix  2 71
  31  43  53  67  80  67 111 152 197 255    Pix  2 72
  34  45  57  70  84  69 114 157 202 255    Pix  2 73
  32  44  56  69  84  69 114 155 200 255    Pix  2 74
  32  44  56  68  82  69 110 154 197 255    Pix  2 75
  34  45  57  69  83  69 111 152 194 255    Pix  2 76
  31  42  53  64  79  66 110 149 191 255    Pix  2 77
  27  36  47  61  77  62 106 146 190 255    Pix  2 78
  27  36  46  60  73  60 100 141 180 255    Pix  2 79
  41  51  65  79  94  79 126 170 216 255    Pix  3  0
  41  51  65  79  94  79 126 167 214 255    Pix  3  1
  40  51  63  78  94  79 125 166 213 255    Pix  3  2
  41  52  65  78  94  78 126 170 214 255    Pix  3  3
  46  58  72  85 101  86 133 174 221 255    Pix  3  4
  45  54  68  81  95  80 127 169 214 255    Pix  3  5
  35  47  60  72  86  73 116 159 205 255    Pix  3  6
  38  48  62  77  94  77 125 168 214 255    Pix  3  7
